Rx,TS,Gdir,Ginv
I1_0L = I2_0L + CO,-,,
I2_0L + ete = I3_0L,-,,
I3_0L = I4_0L,TS1_0L,,
I4_0L + CO = I5_0L,-,,
I5_0L = I6_0L ,TS2_0L,,
I6_0L + CO = I7_0L,-,,
I6_0L + H2 = I8_0L,TS3_0L,,
I8_0L = I9_0L,TS4_0L,,
I9_0L = prod + I2_0L,-,,
I2_0L + PMe3 = I1_1L,-,,
I1_1L = I2c_1L + CO,-,,
I2c_1L + ete = I3_1L,-,,
I3_1L = I4_1L,TS1_1L,,
I4_1L + CO = I5_1L,-,,
I5_1L = I6_1L ,TS2_1L,,
I6_1L + CO = I7_1L,-,,
I6_1L + H2 = I8_1L,TS3_1L,,
I8_1L = I9t_1L,TS4t_1L,,
I8_1L = I9c_1L,TS4c_1L,,
I9t_1L = I2t_1L + prod,-,,
I9c_1L = prod + I2c_1L,-,,
I2t_1L + CO = I1_1L,-,,
